0.0, 91.0
0.228, 92.0
1.212, 94.0
2.216, 96.0
3.34, 97.0
4.241, 97.0
5.218, 97.0
6.229, 96.0
7.204, 95.0
8.291, 92.0
9.229, 91.0
10.203, 91.0
11.216, 91.0
12.227, 92.0
13.24, 94.0
14.232, 95.0
15.226, 96.0
16.202, 96.0
17.29, 95.0
18.226, 93.0
19.239, 90.0
20.252, 90.0
21.227, 90.0
22.202, 91.0
23.215, 92.0
24.243, 94.0
25.202, 95.0
26.252, 95.0
27.301, 94.0
28.202, 92.0
29.225, 91.0
30.302, 90.0
31.239, 89.0
32.224, 89.0
33.228, 89.0
34.24, 89.0
35.253, 88.0
36.227, 88.0
37.239, 88.0
38.214, 88.0
39.227, 89.0
40.238, 90.0
41.213, 91.0
42.226, 93.0
43.239, 95.0
44.214, 97.0
45.226, 100.0
46.238, 101.0
47.214, 101.0
48.301, 100.0
49.238, 93.0
50.213, 86.0
51.225, 83.0
52.239, 82.0
53.289, 83.0
54.24, 85.0
55.254, 86.0
56.214, 87.0
57.226, 87.0
58.217, 87.0
59.213, 86.0
60.226, 84.0
61.253, 83.0
62.252, 83.0
63.224, 83.0
64.238, 85.0
65.212, 86.0
66.226, 88.0
67.236, 90.0
68.213, 92.0
69.226, 94.0
70.238, 96.0
71.287, 97.0
72.225, 98.0
73.238, 97.0
74.25, 97.0
75.3, 97.0
76.238, 98.0
77.215, 98.0
78.225, 100.0
79.238, 100.0
80.251, 100.0
81.226, 98.0
82.237, 95.0
83.214, 91.0
84.224, 90.0
85.238, 89.0
86.25, 89.0
87.239, 90.0
88.238, 92.0
89.287, 93.0
90.225, 94.0
91.237, 94.0
92.249, 93.0
93.301, 91.0
94.252, 87.0
95.212, 85.0
96.224, 83.0
97.237, 83.0
98.25, 84.0
99.225, 84.0
100.251, 86.0
101.212, 87.0
102.224, 88.0
103.238, 89.0
104.211, 90.0
105.239, 90.0
106.238, 89.0
107.287, 88.0
108.275, 87.0
109.239, 87.0
110.212, 89.0
111.299, 91.0
112.237, 93.0
113.221, 95.0
114.224, 96.0
115.238, 95.0
116.213, 93.0
117.225, 92.0
118.237, 90.0
119.251, 89.0
120.224, 88.0
121.237, 88.0
122.212, 88.0
123.224, 89.0
124.236, 90.0
125.211, 93.0
126.224, 96.0
127.236, 97.0
128.213, 100.0
129.298, 103.0
130.25, 104.0
131.226, 105.0
132.223, 105.0
133.236, 105.0
134.3, 105.0
135.261, 104.0
136.246, 105.0
137.212, 105.0
138.299, 106.0
139.249, 106.0
140.211, 108.0
141.223, 109.0
142.236, 110.0
143.211, 111.0
144.224, 112.0
145.238, 113.0
146.211, 114.0
147.223, 114.0
148.236, 114.0
149.211, 115.0
150.223, 115.0
151.237, 116.0
152.286, 116.0
153.223, 116.0
154.236, 117.0
155.225, 117.0
156.299, 117.0
157.237, 117.0
158.21, 118.0
159.225, 118.0
160.235, 118.0
161.247, 118.0
162.223, 118.0
163.235, 117.0
164.212, 115.0
165.222, 114.0
166.235, 113.0
167.212, 113.0
168.26, 112.0
169.236, 112.0
170.211, 112.0
171.223, 112.0
172.235, 112.0
173.224, 112.0
174.222, 112.0
175.25, 112.0
176.261, 112.0
177.223, 111.0
178.234, 111.0
179.247, 110.0
180.222, 110.0
181.25, 110.0
182.211, 109.0
183.224, 108.0
184.235, 108.0
185.248, 108.0
186.223, 108.0
187.235, 109.0
188.211, 110.0
189.26, 110.0
