0.0, -726.0, 59.0, -744.0
0.004999936, -739.0, 60.0, -746.0
0.01, -746.0, 56.0, -750.0
0.015000064, -748.0, 54.0, -755.0
0.02, -750.0, 55.0, -757.0
0.024999936, -751.0, 55.0, -753.0
0.03, -753.0, 53.0, -753.0
0.035000064, -755.0, 54.0, -749.0
0.04, -756.0, 55.0, -745.0
0.044999936, -755.0, 58.0, -740.0
0.05, -752.0, 59.0, -732.0
0.055000064, -743.0, 57.0, -726.0
0.06, -733.0, 55.0, -723.0
0.064999936, -726.0, 45.0, -730.0
0.07, -724.0, 45.0, -735.0
0.075000064, -724.0, 41.0, -735.0
0.08, -729.0, 46.0, -735.0
0.084999936, -735.0, 45.0, -735.0
0.09, -740.0, 44.0, -733.0
0.095000064, -740.0, 45.0, -734.0
0.1, -745.0, 48.0, -740.0
0.104999936, -747.0, 49.0, -743.0
0.11, -749.0, 52.0, -746.0
0.115000064, -748.0, 52.0, -749.0
0.12, -751.0, 56.0, -749.0
0.124999936, -747.0, 59.0, -749.0
0.13, -748.0, 61.0, -749.0
0.135000064, -741.0, 62.0, -747.0
0.14, -740.0, 61.0, -746.0
0.144999936, -736.0, 62.0, -744.0
0.15, -733.0, 61.0, -738.0
0.155000064, -729.0, 61.0, -737.0
0.16, -721.0, 63.0, -738.0
0.164999936, -722.0, 61.0, -735.0
0.17, -723.0, 62.0, -737.0
0.175000026, -729.0, 66.0, -735.0
0.179943168, -735.0, 73.0, -736.0
0.184886272, -739.0, 69.0, -740.0
0.189829248, -743.0, 67.0, -742.0
0.194772352, -745.0, 67.0, -741.0
0.199715456, -743.0, 61.0, -742.0
0.20465856, -746.0, 64.0, -743.0
0.209601536, -749.0, 57.0, -745.0
0.21454464, -751.0, 59.0, -745.0
0.219487744, -749.0, 56.0, -743.0
0.224430848, -751.0, 59.0, -746.0
0.229373824, -749.0, 60.0, -744.0
0.234316928, -750.0, 59.0, -743.0
0.239260032, -750.0, 61.0, -743.0
0.244203008, -752.0, 57.0, -741.0
0.249146112, -750.0, 60.0, -744.0
0.254089216, -749.0, 60.0, -742.0
0.25903232, -750.0, 62.0, -737.0
0.263975296, -749.0, 61.0, -739.0
0.2689184, -748.0, 61.0, -739.0
0.273861504, -747.0, 62.0, -739.0
0.27880448, -748.0, 62.0, -740.0
0.283747584, -751.0, 64.0, -739.0
0.288690688, -749.0, 64.0, -741.0
0.293633792, -753.0, 62.0, -738.0
0.298576768, -748.0, 64.0, -737.0
0.303519872, -746.0, 66.0, -729.0
0.308462976, -742.0, 65.0, -730.0
0.31340608, -744.0, 60.0, -729.0
0.318349056, -745.0, 58.0, -728.0
0.32329216, -747.0, 54.0, -730.0
0.328235264, -743.0, 53.0, -732.0
0.33317824, -741.0, 50.0, -736.0
0.338121344, -740.0, 53.0, -738.0
0.343064448, -739.0, 54.0, -736.0
0.348007552, -739.0, 58.0, -739.0
0.352950494, -741.0, 62.0, -740.0
0.357892736, -738.0, 66.0, -743.0
0.362834944, -738.0, 65.0, -740.0
0.367777152, -733.0, 69.0, -736.0
0.37271936, -725.0, 69.0, -723.0
0.377661568, -716.0, 69.0, -716.0
0.382603776, -730.0, 72.0, -726.0
0.387546112, -735.0, 69.0, -737.0
0.39248832, -745.0, 67.0, -749.0
0.397430528, -754.0, 65.0, -761.0
0.402372736, -755.0, 53.0, -777.0
0.407314944, -754.0, 48.0, -789.0
0.412257152, -742.0, 55.0, -779.0
0.41719936, -734.0, 58.0, -760.0
0.422141568, -729.0, 65.0, -746.0
0.427083776, -728.0, 66.0, -737.0
0.432025984, -728.0, 67.0, -734.0
0.43696832, -728.0, 68.0, -737.0
0.441910528, -727.0, 75.0, -734.0
0.446852736, -725.0, 74.0, -738.0
0.451794944, -725.0, 69.0, -740.0
0.456737152, -725.0, 64.0, -745.0
0.46167936, -729.0, 57.0, -741.0
0.466621568, -730.0, 55.0, -740.0
0.471563776, -738.0, 54.0, -738.0
0.476505984, -744.0, 50.0, -731.0
0.481448192, -748.0, 52.0, -726.0
0.4863904, -752.0, 53.0, -716.0
0.491332736, -753.0, 55.0, -712.0
0.496274944, -749.0, 55.0, -715.0
0.501217152, -749.0, 54.0, -721.0
0.50615936, -746.0, 56.0, -725.0
0.511101568, -743.0, 56.0, -731.0
0.516043776, -742.0, 56.0, -731.0
0.520985984, -743.0, 57.0, -734.0
0.525928192, -742.0, 58.0, -735.0
0.530870424, -741.0, 56.0, -743.0
0.535810944, -740.0, 55.0, -735.0
0.540751488, -740.0, 57.0, -743.0
0.545692032, -741.0, 61.0, -741.0
0.550632576, -742.0, 62.0, -743.0
0.555572992, -737.0, 62.0, -741.0
0.560513536, -739.0, 64.0, -741.0
0.56545408, -737.0, 65.0, -743.0
0.570394624, -740.0, 69.0, -748.0
0.575335168, -745.0, 66.0, -751.0
0.580275712, -747.0, 69.0, -750.0
0.585216256, -745.0, 70.0, -751.0
0.590156672, -742.0, 74.0, -754.0
0.595097216, -738.0, 74.0, -751.0
0.60003776, -733.0, 72.0, -749.0
0.604978304, -728.0, 70.0, -747.0
0.609918848, -727.0, 66.0, -746.0
0.614859392, -719.0, 62.0, -745.0
0.619799936, -717.0, 60.0, -744.0
0.624740352, -709.0, 58.0, -742.0
0.629680896, -711.0, 57.0, -742.0
0.63462144, -715.0, 57.0, -743.0
0.639561984, -721.0, 54.0, -740.0
