0.0, 104.0
0.924, 104.0
1.949, 102.0
2.95, 101.0
3.961, 101.0
4.975, 99.0
5.949, 99.0
6.924, 98.0
8.012, 98.0
8.949, 98.0
9.998, 97.0
10.974, 96.0
11.949, 93.0
12.924, 92.0
13.936, 92.0
14.949, 94.0
15.925, 97.0
16.935, 99.0
17.948, 101.0
18.923, 103.0
19.936, 105.0
20.949, 107.0
21.96, 107.0
23.011, 109.0
23.949, 109.0
24.923, 110.0
25.974, 110.0
26.986, 110.0
27.998, 110.0
28.935, 109.0
29.949, 109.0
30.923, 110.0
31.936, 111.0
32.959, 112.0
33.924, 113.0
34.936, 114.0
35.948, 115.0
36.96, 115.0
37.948, 116.0
38.949, 116.0
39.922, 116.0
40.985, 117.0
41.948, 117.0
42.96, 117.0
43.974, 117.0
44.987, 117.0
45.935, 118.0
46.936, 118.0
47.948, 118.0
48.924, 118.0
49.936, 119.0
50.947, 119.0
51.924, 119.0
52.935, 119.0
53.948, 119.0
54.922, 119.0
55.935, 120.0
56.948, 120.0
57.922, 121.0
58.935, 121.0
59.985, 121.0
60.972, 122.0
61.973, 122.0
62.947, 122.0
63.936, 122.0
64.935, 122.0
65.947, 122.0
66.971, 123.0
67.936, 123.0
68.959, 123.0
69.922, 123.0
70.935, 122.0
71.959, 122.0
72.923, 122.0
73.935, 121.0
74.947, 122.0
75.922, 122.0
76.972, 122.0
77.948, 123.0
78.922, 123.0
80.009, 124.0
80.948, 124.0
81.922, 125.0
82.937, 125.0
84.022, 125.0
84.96, 125.0
85.935, 125.0
86.947, 125.0
87.922, 125.0
88.972, 126.0
89.946, 126.0
90.922, 126.0
91.934, 127.0
92.984, 127.0
93.922, 127.0
94.935, 127.0
95.947, 127.0
96.934, 127.0
98.01, 127.0
98.948, 127.0
99.959, 127.0
100.971, 127.0
101.947, 127.0
102.969, 127.0
103.934, 127.0
104.984, 127.0
106.109, 127.0
107.048, 127.0
107.959, 127.0
108.922, 128.0
109.972, 128.0
110.956, 128.0
111.922, 128.0
112.934, 128.0
113.995, 128.0
114.922, 127.0
115.933, 127.0
116.946, 126.0
117.921, 126.0
118.946, 127.0
119.947, 127.0
120.934, 127.0
121.934, 127.0
122.947, 127.0
123.934, 127.0
124.972, 127.0
125.985, 127.0
126.933, 127.0
127.934, 127.0
128.946, 128.0
129.959, 128.0
130.935, 128.0
131.946, 128.0
132.921, 128.0
133.934, 128.0
134.946, 128.0
135.92, 127.0
136.932, 127.0
138.022, 127.0
138.935, 127.0
139.934, 127.0
140.947, 126.0
141.932, 126.0
142.971, 127.0
143.946, 127.0
144.97, 127.0
145.934, 127.0
146.947, 127.0
147.922, 127.0
148.934, 127.0
149.945, 127.0
150.921, 126.0
151.933, 125.0
152.946, 125.0
153.921, 124.0
154.933, 124.0
155.945, 125.0
156.957, 125.0
158.008, 126.0
158.984, 126.0
159.92, 125.0
160.97, 123.0
161.945, 121.0
162.932, 119.0
163.97, 115.0
164.945, 112.0
165.957, 111.0
166.932, 112.0
167.945, 113.0
168.92, 115.0
169.932, 116.0
170.946, 116.0
171.919, 114.0
172.944, 113.0
173.945, 111.0
174.919, 110.0
175.941, 108.0
176.945, 106.0
177.92, 105.0
179.018, 105.0
