1.785225153416E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225153925E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.78522515445E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.7852251549E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225155425E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.78522515595E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225156474E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225156925E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225157449E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225157902E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225158425E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225158949E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225159401E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225159925E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225160449E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225160901E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225161424E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225161951E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225162475E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225162925E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225163449E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225163902E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225164425E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225164948E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.7852251654E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225165925E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225166449E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.7852251669E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225167425E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225167948E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225168399E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225168925E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
1.785225169449E12, 0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 128.0
