1.785225637221E12, 0.0, 0.0
1.785225659495E12, 1.33, 526.0
1.785225661669E12, 3.54, 803.0
1.785225663845E12, 5.73, 836.0
1.78522566617E12, 8.06, 883.0
1.785225668494E12, 10.36, 862.0
1.785225670745E12, 12.61, 859.0
1.785225672994E12, 14.89, 877.0
1.785225675244E12, 17.17, 844.0
1.785225677644E12, 19.52, 834.0
1.785225679969E12, 21.86, 793.0
1.78522568237E12, 24.26, 782.0
1.785225684769E12, 26.62, 800.0
1.785225687095E12, 28.98, 781.0
1.785225689496E12, 31.32, 790.0
1.785225691818E12, 33.68, 793.0
1.785225694218E12, 36.01, 785.0
1.785225696394E12, 38.29, 782.0
1.785225698794E12, 40.660000000000004, 763.0
1.785225701043E12, 42.96, 833.0
1.785225703368E12, 45.29, 845.0
1.785225705693E12, 47.61, 815.0
1.785225708093E12, 49.95, 783.0
1.785225710345E12, 52.24, 766.0
1.785225712668E12, 54.51, 775.0
1.785225714996E12, 56.83, 793.0
1.785225717243E12, 59.15, 789.0
1.785225719568E12, 61.44, 764.0
1.785225721895E12, 63.77, 777.0
1.785225724142E12, 66.04, 825.0
1.785225726467E12, 68.34, 878.0
1.785225728718E12, 70.62, 806.0
1.785225731117E12, 72.96000000000001, 781.0
1.785225733442E12, 75.23, 794.0
1.785225735618E12, 77.49, 792.0
1.785225737942E12, 79.83, 760.0
1.785225740342E12, 82.2, 778.0
1.785225742667E12, 84.56, 785.0
1.785225745067E12, 86.95, 761.0
1.785225747467E12, 89.35000000000001, 781.0
1.785225749792E12, 91.7, 769.0
1.785225752267E12, 94.05, 800.0
1.785225754516E12, 96.43, 792.0
1.785225756916E12, 98.79, 808.0
1.785225759241E12, 101.09, 791.0
1.785225761566E12, 103.45, 826.0
1.78522576389E12, 105.73, 810.0
1.785225766216E12, 108.06, 788.0
1.785225768541E12, 110.4, 793.0
1.785225770941E12, 112.74000000000001, 799.0
1.785225773191E12, 115.10000000000001, 807.0
1.785225775516E12, 117.42, 814.0
1.78522577799E12, 119.77, 829.0
1.78522578024E12, 122.13, 806.0
1.785225782566E12, 124.44, 820.0
1.78522578489E12, 126.78, 877.0
1.78522578729E12, 129.11, 841.0
1.785225789541E12, 131.4, 835.0
1.785225791864E12, 133.74, 854.0
1.78522579419E12, 136.06, 836.0
1.785225796439E12, 138.31, 819.0
1.785225798764E12, 140.62, 831.0
1.78522580094E12, 142.81, 842.0
1.78522580319E12, 145.05, 866.0
1.785225805514E12, 147.28, 849.0
1.785225807615E12, 149.53, 839.0
1.785225809864E12, 151.76, 865.0
1.785225812264E12, 154.06, 839.0
1.785225813841E12, 155.71, 809.0
1.785225814364E12, 156.27, 846.0
1.785225816614E12, 158.51, 830.0
1.785225818864E12, 160.77, 879.0
1.785225821264E12, 163.12, 867.0
1.785225823588E12, 165.46, 853.0
1.785225825914E12, 167.78, 849.0
1.785225828238E12, 170.04, 817.0
1.785225830488E12, 172.33, 797.0
1.785225832739E12, 174.63, 803.0
1.785225835139E12, 176.92000000000002, 799.0
1.785225837387E12, 179.23, 820.0
1.785225839563E12, 181.47, 798.0
1.785225841887E12, 183.78, 794.0
1.785225844212E12, 186.07, 787.0
1.785225846387E12, 188.3, 790.0
1.785225848712E12, 190.6, 825.0
1.785225851038E12, 192.92000000000002, 801.0
1.785225853288E12, 195.19, 790.0
1.785225855686E12, 197.52, 804.0
1.785225858087E12, 199.86, 789.0
1.785225860338E12, 202.23000000000002, 791.0
1.785225862663E12, 204.52, 777.0
1.785225864912E12, 206.8, 779.0
1.785225867237E12, 209.07, 763.0
1.785225869486E12, 211.38, 770.0
1.785225871886E12, 213.74, 774.0
1.785225874214E12, 216.07, 777.0
1.785225876461E12, 218.35, 760.0
1.785225878786E12, 220.70000000000002, 764.0
1.785225881186E12, 223.0, 778.0
1.785225883437E12, 225.3, 792.0
1.785225885761E12, 227.63, 771.0
1.785225888011E12, 229.9, 766.0
1.785225890411E12, 232.17000000000002, 775.0
1.785225892586E12, 234.46, 732.0
1.785225894836E12, 236.68, 740.0
1.785225897161E12, 238.95000000000002, 755.0
1.78522589941E12, 241.21, 769.0
1.785225901586E12, 243.49, 774.0
1.785225903912E12, 245.75, 756.0
1.785225906161E12, 248.02, 760.0
1.785225908486E12, 250.38, 773.0
1.785225910811E12, 252.67000000000002, 771.0
1.785225913136E12, 254.98000000000002, 765.0
1.785225915384E12, 257.24, 785.0
1.785225917634E12, 259.52, 791.0
1.785225920034E12, 261.81, 785.0
1.785225922285E12, 264.08, 795.0
1.785225924534E12, 266.35, 761.0
